date,value
2014-06-09 02:43:01 +0100, 1
2014-06-10 02:37:32 +0100, 3
2014-06-11 02:46:34 +0100, 15
2014-06-12 02:41:15 +0100, 17
2014-06-13 02:41:25 +0100, 17
2014-06-14 02:40:13 +0100, 13
2014-06-15 02:47:35 +0100, 14
2014-06-16 02:41:12 +0100, 16
2014-06-17 09:02:58 +0100, 56
2014-06-18 02:43:52 +0100, 12
2014-06-19 02:45:25 +0100, 21
2014-06-20 02:38:00 +0100, 17
2014-06-21 02:40:01 +0100, 20
2014-06-22 02:35:21 +0100, 3
2014-06-23 02:38:09 +0100, 2
2014-06-24 02:36:03 +0100, 3
2014-06-25 02:56:22 +0100, 40
2014-06-25 18:52:04 +0100, 5
2014-06-26 03:22:37 +0100, 38
2014-06-27 03:30:05 +0100, 162
2014-06-28 03:24:59 +0100, 16
2014-06-29 03:26:42 +0100, 140
2014-06-30 03:15:10 +0100, 26
2014-07-01 02:26:38 +0100, 241
2014-07-02 02:38:11 +0100, 4
2014-07-03 02:42:33 +0100, 4
2014-07-04 03:16:58 +0100, 45
2014-07-05 02:47:21 +0100, 3
2014-07-06 02:42:04 +0100, 4
2014-07-07 02:50:58 +0100, 10
2014-07-08 03:01:34 +0100, 6
2014-07-09 02:45:17 +0100, 7
2014-07-10 02:50:19 +0100, 8
2014-07-11 02:44:32 +0100, 70
2014-07-12 02:42:44 +0100, 69
2014-07-13 02:42:54 +0100, 70
2014-07-14 02:46:22 +0100, 70
2014-07-15 02:46:20 +0100, 69
2014-07-16 02:41:36 +0100, 6
2014-07-17 03:45:35 +0200, 5
2014-07-18 03:43:35 +0200, 4
2014-07-19 03:40:29 +0200, 5
2014-07-20 03:39:08 +0200, 4
2014-07-21 03:48:02 +0200, 23
2014-07-22 03:51:21 +0200, 9
2014-07-23 03:43:33 +0200, 8
2014-07-24 03:43:38 +0200, 9
2014-07-25 02:40:39 +0100, 5
2014-07-26 02:38:56 +0100, 6
2014-07-27 02:32:27 +0100, 5
2014-07-28 02:39:09 +0100, 6
2014-07-29 02:39:03 +0100, 6
2014-07-30 02:43:37 +0100, 5
2014-07-31 02:36:38 +0100, 3
2014-08-01 02:44:51 +0100, 4
2014-08-02 02:34:09 +0100, 4
2014-08-03 03:04:45 +0100, 4
2014-08-04 02:44:53 +0100, 4
2014-08-05 02:44:49 +0100, 4
2014-08-06 02:42:41 +0100, 3
2014-08-07 02:41:08 +0100, 2
2014-08-08 02:42:48 +0100, 3
2014-08-09 02:34:39 +0100, 3
2014-08-10 02:36:41 +0100, 2
2014-08-11 02:48:25 +0100, 61
2014-08-12 02:36:19 +0100, 3
2014-08-13 02:41:09 +0100, 4
2014-08-14 02:38:33 +0100, 6
2014-08-15 02:39:52 +0100, 3
2014-08-16 02:38:45 +0100, 4
2014-08-17 02:36:46 +0100, 2
2014-08-18 02:39:33 +0100, 3
2014-08-19 02:40:55 +0100, 4
2014-08-20 02:40:26 +0100, 2
2014-08-21 02:45:46 +0100, 3
2014-08-22 02:41:57 +0100, 4
2014-08-23 02:48:31 +0100, 3
2014-08-24 02:40:57 +0100, 3
2014-08-25 02:43:25 +0100, 2
2014-08-26 02:44:58 +0100, 3
